Title,Title_URL,artlink_URL,artlink,Time,Field
iDNES.cz,htts://www.idnes.cz,https://www.idnes.cz/sport/biatlon/johannes-bo-posledni-zavod.A250323_190251_biatlon_vp2,"V pondělí nebudu pít ani řídit. Jak skončila éra, kdy se z biatlonu stal boeatlon", dnes,"Cílem hromadného závodu projel na sedmém místě, vyplázl jazyk, počkal na bratra Tarjeie, objali se. Pak je parťáci..."
iDNES.cz,htts://www.idnes.cz,https://www.idnes.cz/auto/zpravodajstvi/dongfeng-u-tour-mpv-cina.A250310_121857_automoto_fdv,Sedmimístný dongfeng je luxusním autem pro čtyři. Čínské MPV nemá soupeře, dnes,"V době, kdy se kategorie MPV v podstatě smrskla na osobní verze dodávek, přichází na evropské trhy čínský zástupce,..."
Expres,https://www.expres.cz/,https://www.expres.cz/jenpromuze/sdeleni/undone-trendy-nealkoholicke-drinky.A250321_135812_jenpromuze-sdeleni_shlo2,Undone: trendy nealkoholické drinky, před 8 hodinami,"Co kdybyste si mohli užít své oblíbené koktejly s ginem, aperolem nebo vermutem, ale bez alkoholu? Hamburský nápojový..."
Lidovky,https://www.lidovky.cz/,https://www.lidovky.cz/nazory/senat-daniela-kovarova-miroslava-nemcova-vladimir-putin-rusko-bezpecnost.A250324_132023_ln_nazory_lgs,"Kulturní zatykač: senátorka Kovářová, dead or alive", před 2 hodinami,"Na senátorku Danielu Kovářovou je vydán kulturní zatykač, zneužiji termín Václava Bělohradského. „Jsem z vás zhnusena,“..."
iDNES.tv,https://tv.idnes.cz/,https://tv.idnes.cz/zahranicni/mexiko-zatknout-nemecko-turista-vystup-posvatna-pyramida-kukulkan.V250324_102738_idnestv_anka,V Mexiku zatkli německého turistu za výstup na posvátnou Kukulkánovu pyramidu, před 11 hodinami,
autozive,https://www.autozive.cz/,https://www.autozive.cz/dacia-jogger-konkurence/,"Má obrovský kufr, jezdí za 5 litrů, stojí méně než motorka a uveze 7 lidí. Je lepší koupit ho spí...", dnes,"Kdysi populární druh automobilu a typ karoserie, který Češi milovali, pomalu mizí z nabídky. Dá se ale stále najít za..."
iDNES.cz,htts://www.idnes.cz,https://www.idnes.cz/auto/zpravodajstvi/hyundai-i30-ojetina-bazar-autobazar.A250320_152615_automoto_fdv,Rodinný ideál z Česka. Hyundai i30 berte bez obav s benziňákem, dnes,"Doba, kdy jsme se korejským autům spíš posmívali, je už dávno pryč. Třetí i30 zabodovala povedeným podvozkem, příjemným..."
iDNES.cz,htts://www.idnes.cz,https://www.idnes.cz/bydleni/rekonstrukce/byt-ve-zrekonstruovanem-cinzaku-architekt-peter-pozar.A250321_135940_dum_osobnosti_rez,"Činžák po proměně fascinuje, v přízemním bytě se cítí jako v domku", dnes,Vrátili se z dlouholetého pobytu v Anglii a v pronajatém bytě na Vinohradech to pro ně stále nebylo „jako doma“. Teprve...
Metro.cz,https://www.metro.cz/,https://www.metro.cz/spolecnost/the-lumineers-se-vraci-s-patym-albem-a-planem-okouzlit-o2-arenu.A250323_163101_metro-spolecnost_hala,The Lumineers se vrací s pátým albem a plánem okouzlit O2 arenu, dnes,"Zažít americkou kapelu The Lumineers naživo je hudební zážitek – silné melodie, srdečný projev a imponující historie,..."
Expres,https://www.expres.cz/,https://www.expres.cz/celebrity/je-to-paruka-nejste-nemocna-lide-se-ptaji-na-novy-uces-jany-malacove.A250323_131029_dx-celebrity_chlp,"Je to paruka, nejste nemocná? Lidé se ptají na nový účes Jany Maláčové", včera,"Jana Maláčová chce voliče zaujmout nejen ostrými prohlášeními a levicovým programem, ale zjevně také svým vzhledem. V..."
Lidovky,https://www.lidovky.cz/,https://www.lidovky.cz/nazory/kralupy-bombardovani-spojenecka-letadla-smutny-rekordman-druha-svetova-valka-1945.A250324_125628_ln_nazory_lsva,Smutný rekordman jara 1945. Nálet spojeneckých letadel na Kralupy byl nejtěžší v republice, před 3 hodinami,"Naše nejrozbombardovanější město za války. Takové byly průmyslové Kralupy nad Vltavou 22. března 1945, právě před 80..."
iDNES.tv,https://tv.idnes.cz/,https://tv.idnes.cz/zahranicni/velka-britanie-anglie-turiste-auta-autobus-pamatky-provoz-ulice.V250324_153229_idnestv_pech,Samospráva nejkrásnější vesnice v Anglii chce „zatočit“ s turisty, před 6 hodinami,
Akční ceny,https://www.akcniceny.cz/,https://www.akcniceny.cz/magazin/pozor-ridici-9-dubna-probehne-velka-kontrola-rychlosti-na-silnicich-po-cele-cr/,Pozor řidiči: 9. dubna proběhne velká kontrola rychlosti na silnicích po celé..., dnes,Policie České republiky chystá masivní celostátní akci zaměřenou na měření rychlosti – Speed Marathon 2025. Kontroly...
iDNES.cz,htts://www.idnes.cz,https://www.idnes.cz/zpravy/domaci/manual-pro-krizi-preziti-valecny-konflikt-ministerstvo-vnitra-hasici.A250321_144559_domaci_dyn,Jak přežít tři dny při povodních či válce? Česko chystá nový manuál pro obyvatele, před 8 hodinami,Česko reaguje na vzrůstající napětí v mezinárodní politice a podobně jako další evropské země aktualizuje a rozšiřuje...
iDNES.cz,htts://www.idnes.cz,https://www.idnes.cz/cestovani/po-cesku/dalesicka-prehrada-udoli-reka-jihlava-tip-na-vylet-trampove-osady-historie.A250320_161954_po-cesku_hig,Putování po skalách a trampských památnících u Dalešické přehrady vás dojme, dnes,Jedním z nejkrásnějších míst moravské krajiny je údolí řeky Jihlavy. Obdivovat ho můžete v původní přírodní podobě nebo...
Expres,https://www.expres.cz/,https://www.expres.cz/celebrity/proc-zmizel-leos-mares-z-instagramu-a-z-medialniho-sveta-a-na-jak-dlouho.A250321_205614_dx-celebrity_haku,Proč zmizel Leoš Mareš z Instagramu a z mediálního světa? A na jak dlouho?, včera,"Leoš Mareš (48) jméno, které si každý okamžitě spojí s českým showbyznysem, hudbou, rádiem a ikonickými kožichy. Přesto..."
Lidovky,https://www.lidovky.cz/,https://www.lidovky.cz/orientace/andy-warhol-zity-sen-vystava-pardubice-legenda-pop-art.A250324_111809_ln-orientace_lsva,Zkušenosti a sny Andyho Warhola. V Pardubicích probíhá unikátní výstava legendy pop-artu, před 8 hodinami,Nová výstava Žitý sen Andyho Warhola představuje slavné portréty Marilyn Monroe nebo Jackie Kennedyové i méně známou...
Antiyoutuber.cz,https://www.antiyoutuber.cz/,https://www.antiyoutuber.cz/clanky/dominique-alagia-influencer-hudba-videoklip-kritika-pisen.A250324_115901_antiyout-clanky_sorm,"Dominique Alagia brzy vydá novou skladbu. Nebreč, naštěstí tam skoro nejsi slyšet, reagují lidé na ukázku", před 8 hodinami,Dominique Alagia už za několik dní představí nový hudební videoklip. Skladbu její fanoušci už nyní přidávají ke svým...
iDNES.tv,https://tv.idnes.cz/,https://tv.idnes.cz/krimi/zlodeji-ukradli-ze-zahradnictvi-stromky-odnesli-je-pres-hrbitov.V250324_115208_idnestv_jaha,Zloději ukradli ze zahradnictví stromky. Odnesli je přes hřbitov, před 9 hodinami,
eMimino,https://www.emimino.cz/,https://www.emimino.cz/clanky/adolescent-netflix-otevira-tema-vrazdy-mezi-detmi-a-jeji-sokujici-dusledky/,Adolescent: Netflix otevírá téma vraždy mezi dětmi a její šokující důsledky, dnes,"Pokud patříte mezi milovníky kriminálních seriálů, které vás nenechají chladnými, rozhodně si nenechte ujít minisérii..."
Harpersbazaar,https://harpersbazaar.cz/,https://harpersbazaar.cz/life/tydenni-horoskop-24-03-2025-30-03-2025/,Týdenní horoskop 24.03.2025-30.03.2025, včera,"Slunce již prochází ohnivým znamením Berana, a tím započal nový astrologický rok a roční období jara, které nastalo..."
iDNES.cz,htts://www.idnes.cz,https://www.idnes.cz/zpravy/zahranicni/srbsko-sledovani-kamera-stalkerware-stenice-gps.A250323_171811_zahranicni_stud,V Srbsku může kdokoli špehovat kohokoli. Bondovská technika je k sehnání snadno, dnes,"V Srbsku je snadné kohokoli špehovat. Může vás jednoduše sledovat partner, kolega, šéf nebo soused a vlastně jim za to..."
iDNES.cz,htts://www.idnes.cz,https://www.idnes.cz/jihlava/zpravy/babybox-mimino-rom-odlozeni-rodice-jihlava-nemocnice-vysocina.A250324_074543_jihlava-zpravy_fred,"V Jihlavě někdo odložil romského chlapečka. Vzácnost, říká zakladatel babyboxů", dnes,Do babyboxu v jihlavské nemocnici v neděli večer někdo odložil novorozené děťátko. Podle zakladatele sítě babyboxů...
Expres,https://www.expres.cz/,https://www.expres.cz/celebrity/jan-strach-a-jeho-rodinne-konexe-slavny-bratranec-dj-nobodylisten.A250318_111728_dx-celebrity_opae,Jan Strach a jeho rodinné konexe: Slavný bratranec DJ NobodyListen!, včera,"Režisér Jan Strach (27) stojí před soudem na Praze 1, kvůli obžalobě z vydírání a neoprávněného přístupu k počítačovému..."
Lidovky,https://www.lidovky.cz/,https://www.lidovky.cz/esprit/astier-de-villatte-historicke-vune-stary-egypt-parfemar-dominique-ropion-ivan-pericoli.A250318_134759_ln-espritr_lpuch,Jak voněl starý Egypt. Hvězdný parfémář se zapojil do jedinečného projektu, před 5 hodinami,Francouzskou značku Astier de Villatte založili v roce 1996 Ivan Pericoli a Benoît Astier de Villatte coby umělecký...
iDNES.tv,https://tv.idnes.cz/,https://tv.idnes.cz/zahranicni/ruske-drony-zautocily-na-delnici-pri-oprava-strecha.V250324_100442_idnestv_prr,Ruské drony zaútočily na dělníky při opravě střechy, před 11 hodinami,
Autojournal.cz,https://www.autojournal.cz/,https://www.autojournal.cz/zellmer-zustava-sefem-skody-smlouvu-mu-prodlouzili-do-roku-2028/,"Zellmer zůstává šéfem Škody, smlouvu mu prodloužili do roku 2028", před hodinou,Předseda představenstva automobilky Škoda Auto Klaus Zellmer (57) zůstane ve funkci další tři roky. Německý list...
iDNES.cz,htts://www.idnes.cz,https://www.idnes.cz/zpravy/revue/spolecnost/denis-safarik-herec-sexualni-sceny-kral-sumavy.A250312_082359_lidicky_vohr,"Denis Šafařík šokoval v sexuálních scénách, rodiče nehnuli brvou", dnes,"„Ani si už nepamatuji na kolik jetí jsme to dělali, ale nebylo to nějak vyčerpávající,“ říká Denis Šafařík o svých..."
iDNES.cz,htts://www.idnes.cz,https://www.idnes.cz/zpravy/zahranicni/imamoglu-turecko-protesty-erdogan-istanbul-zatceni-starost.A250324_070410_zahranicni_lysa,"Gumové projektily, tisíc zatčených. Turecko se bouří kvůli zadržení Imamoglua", dnes,"Desítky tisíc lidí v noci na pondělí opět po celém Turecku protestovaly proti zatčení, obvinění a uvěznění jednoho z..."
Metro.cz,https://www.metro.cz/,https://www.metro.cz/praha/hrajeme-padel-ceskou-mekku-noveho-raketoveho-sportu-najdete-na-sutce.A250324_144901_metro-praha_hala,Hrajeme padel! Českou mekku nového raketového sportu najdete na Šutce, před 3 hodinami,"Populární sport jsme si zahráli s tím nejpovolanějším. Při drezuře občas padaly i pochvaly. Padelu, sportu na pomezí..."
Expres,https://www.expres.cz/,https://www.expres.cz/celebrity/adolescent-mel-zjistit-proc-pribyva-detskych-vrahu-na-co-prisli-divaci.A250320_153728_dx-celebrity_stes,"Adolescent měl zjistit, proč přibývá dětských vrahů. Na co přišli diváci?", včera,"Velkou chválu zatím od diváků sklízí netflixová série Adolescent z pera Stephena Grahama, který v ní zároveň hraje...."
Lidovky,https://www.lidovky.cz/,https://www.lidovky.cz/magazin/tiger-woods-golfista-vztah-vanessa-trump-pritelkyne-trump-junior.A250324_143105_ln-magazin_lsva,Pikantní vztah: Tiger Woods chodí s bývalou snachou amerického prezidenta Trumpa, před 7 hodinami,"Tiger Woods (49) a Vanessa Trumpová (47) tvoří pár. Americký golfista o pikantním vztahu informoval na Instagramu, s..."
iDNES.tv,https://tv.idnes.cz/,https://tv.idnes.cz/zahranicni/desitky-tisic-turci-vysly-kvuli-starosta-znovu-do-ulice.V250324_085035_idnestv_prr,Desítky tisíc Turků vyšly kvůli starostovi znovu do ulic, dnes,
